Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2016-09-23,0.320816,0.336108,0.29444,0.309094,4730.0,1254560.0,0.32
2016-09-24,0.309084,0.326816,0.301306,0.301306,1940.0,1208680.0,0.31
2016-09-25,0.301334,0.31877,0.301216,0.318682,1904.0,1178370.0,0.31
2016-09-26,0.318664,0.318796,0.29284,0.310075,2621.0,1246140.0,0.31
2016-09-27,0.310024,0.310129,0.256446,0.288572,5146.0,1212350.0,0.28
2016-09-28,0.288585,0.288787,0.244709,0.272051,4227.0,1128520.0,0.27
2016-09-29,0.27202,0.282484,0.250328,0.250421,1905.0,1063740.0,0.27
2016-09-30,0.25046,0.38206,0.249613,0.344654,20035.0,979428.0,0.32
2016-10-01,0.336214,0.351218,0.256011,0.257705,14231.0,1314770.0,0.3
2016-10-02,0.257348,0.309106,0.257348,0.305042,3984.0,1006360.0,0.28
2016-10-03,0.305021,0.305246,0.276176,0.290975,1937.0,1192790.0,0.29
2016-10-04,0.291004,0.291004,0.252595,0.261761,1136.0,1137980.0,0.27
2016-10-05,0.261779,0.26196,0.245419,0.255432,3003.0,1023690.0,0.25
2016-10-06,0.255421,0.257687,0.237207,0.248515,1609.0,998828.0,0.25
2016-10-07,0.248511,0.249741,0.218391,0.234213,3108.0,971806.0,0.23
2016-10-08,0.234259,0.234524,0.218409,0.230664,2119.0,916074.0,0.23
2016-10-09,0.23062,0.238551,0.218653,0.238367,1743.0,901843.0,0.23
2016-10-10,0.238423,0.29681,0.237094,0.253701,5753.0,932357.0,0.27
2016-10-11,0.253786,0.253887,0.231354,0.231354,6987.0,992434.0,0.24
2016-10-12,0.231196,0.250639,0.231059,0.244579,447.0,904096.0,0.24
2016-10-13,0.244568,0.332691,0.192402,0.294865,23708.0,956387.0,0.26
2016-10-14,0.294913,0.328434,0.230484,0.287989,9666.0,1153260.0,0.28
2016-10-15,0.288019,0.301864,0.259551,0.264536,2418.0,1126300.0,0.28
2016-10-16,0.264607,0.314879,0.260915,0.278848,4810.0,1034750.0,0.29
2016-10-17,0.278946,0.279226,0.246839,0.254096,1060.0,1090820.0,0.26
2016-10-18,0.254094,0.273978,0.249916,0.263419,2084.0,993639.0,0.26
2016-10-19,0.263432,0.271173,0.251934,0.268188,1204.0,1030160.0,0.26
2016-10-20,0.265773,0.268183,0.252732,0.258245,416.0,1039310.0,0.26
2016-10-21,0.258192,0.273796,0.25609,0.264154,391.0,1009660.0,0.26
2016-10-22,0.264126,0.278387,0.257102,0.259362,1199.0,1032870.0,0.27
2016-10-23,0.259552,0.277321,0.259552,0.277311,649.0,1014980.0,0.27
2016-10-24,0.277382,0.291507,0.255551,0.282816,4309.0,1084710.0,0.27
2016-10-25,0.282737,0.290379,0.260491,0.267105,1514.0,1105650.0,0.28
2016-10-26,0.267246,0.29699,0.256923,0.273818,6001.0,1045070.0,0.28
2016-10-27,0.273744,0.28136,0.239355,0.240964,1424.0,1070480.0,0.26
2016-10-28,0.241095,0.263828,0.240151,0.255962,1581.0,942806.0,0.25
2016-10-29,0.256005,0.262334,0.21392,0.220768,4482.0,1001110.0,0.24
2016-10-30,0.220706,0.231385,0.209781,0.213967,2046.0,863074.0,0.22
2016-10-31,0.213968,0.230374,0.211367,0.218474,2003.0,836725.0,0.22
2016-11-01,0.21846,0.229155,0.214422,0.222214,1711.0,854291.0,0.22
2016-11-02,0.222275,0.225061,0.213349,0.224564,1152.0,869210.0,0.22
2016-11-03,0.224485,0.225318,0.205089,0.21782,686.0,877852.0,0.22
2016-11-04,0.217919,0.261002,0.216926,0.233362,1085.0,852176.0,0.24
2016-11-05,0.23332,0.265881,0.231664,0.265236,763.0,912402.0,0.25
2016-11-06,0.265222,0.28422,0.227733,0.233651,2163.0,1037160.0,0.26
2016-11-07,0.244398,0.245154,0.225115,0.228575,1453.0,955722.0,0.24
2016-11-08,0.228656,0.233412,0.192515,0.204495,5008.0,894163.0,0.21
2016-11-09,0.20443,0.213419,0.19499,0.209545,634.0,799427.0,0.2
2016-11-10,0.20958,0.2192,0.200695,0.202939,2698.0,819566.0,0.21
2016-11-11,0.20296,0.222018,0.202914,0.222018,1106.0,793678.0,0.21
2016-11-12,0.222016,0.222244,0.187855,0.187855,636.0,868197.0,0.21
2016-11-13,0.18785,0.212888,0.185537,0.212524,322.0,734590.0,0.2
2016-11-14,0.212507,0.213874,0.204067,0.207666,522.0,831012.0,0.21
2016-11-15,0.207793,0.213631,0.202342,0.20254,1614.0,812578.0,0.21
2016-11-16,0.202412,0.214869,0.190079,0.1984,1292.0,791535.0,0.2
2016-11-17,0.198387,0.200394,0.192306,0.192784,1057.0,775796.0,0.2
2016-11-18,0.192687,0.199296,0.191624,0.197718,40.0,753506.0,0.2
2016-11-19,0.197667,0.202706,0.195737,0.195914,322.0,772980.0,0.2
2016-11-20,0.195949,0.212114,0.195949,0.198597,315.0,766262.0,0.2
2016-11-21,0.198604,0.21563,0.194351,0.203771,277.0,776644.0,0.2
2016-11-22,0.203679,0.215763,0.192624,0.215691,1265.0,796490.0,0.2
2016-11-23,0.215687,0.252383,0.215687,0.245848,2393.0,843448.0,0.23
2016-11-24,0.241715,0.258885,0.203483,0.232952,7883.0,945230.0,0.23
2016-11-25,0.232901,0.24018,0.202701,0.213996,1816.0,910763.0,0.22
2016-11-26,0.214005,0.218811,0.208509,0.215608,21.0,836870.0,0.21
2016-11-27,0.21554,0.243078,0.21554,0.232619,785.0,842873.0,0.23
2016-11-28,0.232636,0.243567,0.191075,0.1992,6462.0,909727.0,0.22
2016-11-29,0.19921,0.206832,0.198116,0.201248,786.0,779014.0,0.2
2016-11-30,0.20122,0.208476,0.195434,0.195544,1150.0,786874.0,0.2
2016-12-01,0.195538,0.198388,0.18972,0.190076,484.0,764655.0,0.19
2016-12-02,0.192848,0.205367,0.190609,0.198562,1406.0,754135.0,0.2
2016-12-03,0.198622,0.203084,0.194827,0.19511,95.0,776715.0,0.2
2016-12-04,0.19512,0.207364,0.18553,0.192195,1188.0,763020.0,0.2
2016-12-05,0.192283,0.195146,0.183219,0.186491,1221.0,751926.0,0.19
2016-12-06,0.186498,0.191261,0.186498,0.189278,734.0,729304.0,0.19
2016-12-07,0.189279,0.191495,0.175947,0.186834,1053.0,740179.0,0.18
2016-12-08,0.186829,0.193416,0.18266,0.191763,244.0,730598.0,0.19
2016-12-09,0.191725,0.193987,0.182805,0.193288,466.0,749744.0,0.19
2016-12-10,0.194032,0.209793,0.19357,0.20519,225.0,758765.0,0.2
2016-12-11,0.205189,0.216152,0.203835,0.212611,205.0,802395.0,0.21
2016-12-12,0.212677,0.218329,0.212067,0.213252,642.0,831677.0,0.22
2016-12-13,0.213227,0.218357,0.200678,0.209897,307.0,833828.0,0.21
2016-12-14,0.209622,0.218549,0.19774,0.207031,625.0,819730.0,0.21
2016-12-15,0.207105,0.207975,0.188075,0.194142,863.0,809888.0,0.2
2016-12-16,0.194091,0.206612,0.184011,0.19468,2487.0,758996.0,0.2
2016-12-17,0.194681,0.199094,0.186422,0.19183,832.0,761303.0,0.19
2016-12-18,0.191834,0.191984,0.16095,0.177199,2399.0,750170.0,0.18
2016-12-19,0.177263,0.180513,0.062407,0.073963,17577.0,693190.0,0.12
2016-12-20,0.075421,0.089194,0.056772,0.081519,7850.0,294937.0,0.07
2016-12-21,0.081779,0.120641,0.076702,0.110837,4507.0,319797.0,0.1
2016-12-22,0.111132,0.115856,0.100198,0.106509,3694.0,434584.0,0.11
2016-12-23,0.10647,0.113551,0.091935,0.098334,2385.0,416353.0,0.1
2016-12-24,0.098389,0.10844,0.090112,0.094235,580.0,384753.0,0.1
2016-12-25,0.094267,0.094456,0.089821,0.090767,37.0,368633.0,0.09
2016-12-26,0.090726,0.107655,0.086295,0.091634,628.0,354785.0,0.1
2016-12-27,0.091692,0.112995,0.082886,0.083099,991.0,358563.0,0.1
2016-12-28,0.083147,0.104052,0.077264,0.094533,3130.0,325149.0,0.09
2016-12-29,0.087548,0.095402,0.075503,0.092797,772.0,342358.0,0.09
2016-12-30,0.092833,0.106549,0.07502,0.102424,6758.0,363027.0,0.09
2016-12-31,0.102438,0.142124,0.089049,0.121894,3827.0,400585.0,0.12
2017-01-01,0.121912,0.14313,0.099133,0.105853,1785.0,476739.0,0.12
2017-01-02,0.105911,0.124259,0.084053,0.086007,1722.0,414167.0,0.1
2017-01-03,0.086004,0.121785,0.085972,0.105774,2120.0,336320.0,0.1
2017-01-04,0.10575,0.190087,0.08999,0.122825,7603.0,413537.0,0.14
2017-01-05,0.122951,0.150002,0.096139,0.110439,6031.0,480802.0,0.12
2017-01-06,0.110741,0.11443,0.07832,0.078482,4599.0,433054.0,0.1
2017-01-07,0.078594,0.084351,0.071386,0.078782,2102.0,307344.0,0.08
2017-01-08,0.078783,0.080167,0.071903,0.07374,875.0,308084.0,0.08
2017-01-09,0.073844,0.090444,0.067041,0.09033,2143.0,288767.0,0.08
2017-01-10,0.090283,0.090283,0.075241,0.075938,743.0,353052.0,0.08
2017-01-11,0.075936,0.078517,0.063813,0.077764,1493.0,296951.0,0.07
2017-01-12,0.077651,0.078679,0.071368,0.071747,165.0,303657.0,0.08
2017-01-13,0.071703,0.082483,0.069692,0.082276,164.0,280395.0,0.08
2017-01-14,0.08239,0.0835,0.0707,0.071245,721.0,322188.0,0.08
2017-01-15,0.071218,0.086721,0.071195,0.086695,905.0,278500.0,0.08
2017-01-16,0.086692,0.087775,0.081659,0.081944,158.0,339009.0,0.08
2017-01-17,0.081964,0.094835,0.081906,0.0945,375.0,320523.0,0.09
2017-01-18,0.094562,0.095558,0.074681,0.085304,899.0,369785.0,0.09
2017-01-19,0.085656,0.086591,0.0759,0.083351,812.0,334960.0,0.08
2017-01-20,0.083317,0.083317,0.074301,0.074324,543.0,325813.0,0.08
2017-01-21,0.074323,0.081933,0.073395,0.081765,273.0,290641.0,0.08
2017-01-22,0.082777,0.08419,0.073607,0.082081,164.0,323700.0,0.08
2017-01-23,0.082176,0.082249,0.069053,0.070042,1129.0,321349.0,0.08
2017-01-24,0.069997,0.073091,0.033007,0.06246,7367.0,273724.0,0.05
2017-01-25,0.062488,0.062684,0.051811,0.058584,1089.0,244361.0,0.06
2017-01-26,0.0586,0.059734,0.036619,0.059274,555.0,229157.0,0.05
2017-01-27,0.059276,0.059518,0.04819,0.049879,535.0,231800.0,0.05
2017-01-28,0.049878,0.064579,0.049591,0.055415,623.0,195049.0,0.06
2017-01-29,0.055415,0.057487,0.055321,0.057295,6.0,216702.0,0.06
2017-01-30,0.057294,0.065374,0.057292,0.065316,17.0,224048.0,0.06
2017-01-31,0.065292,0.06644,0.057722,0.065153,603.0,255325.0,0.06
2017-02-01,0.065143,0.066143,0.059318,0.065143,865.0,254744.0,0.06
2017-02-02,0.065137,0.065553,0.060078,0.061801,9.0,254720.0,0.06
2017-02-03,0.06178,0.063517,0.051571,0.060188,792.0,241592.0,0.06
2017-02-04,0.060271,0.060426,0.051567,0.053094,155.0,235690.0,0.06
2017-02-05,0.053126,0.058227,0.05117,0.05411,59.0,207749.0,0.05
2017-02-06,0.054166,0.054394,0.051492,0.053029,440.0,211816.0,0.05
2017-02-07,0.05313,0.056199,0.046895,0.04706,1027.0,207767.0,0.05
2017-02-08,0.047103,0.047842,0.046002,0.04736,11.0,184198.0,0.05
2017-02-09,0.047432,0.050477,0.043244,0.045105,104.0,185485.0,0.05
2017-02-10,0.045162,0.049521,0.041118,0.04893,124.0,176606.0,0.05
2017-02-11,0.048941,0.049907,0.045859,0.045873,35.0,191383.0,0.05
2017-02-12,0.045831,0.045887,0.045529,0.045633,58.0,179222.0,0.05
2017-02-13,0.045619,0.047445,0.042917,0.047343,693.0,178394.0,0.05
2017-02-14,0.047395,0.047395,0.043285,0.043326,2115.0,185339.0,0.05
2017-02-15,0.043398,0.049106,0.042138,0.042959,984.0,169708.0,0.05
2017-02-16,0.042966,0.045003,0.042966,0.044139,26.0,168020.0,0.04
2017-02-17,0.044082,0.045244,0.044062,0.045111,2.0,172384.0,0.04
2017-02-18,0.045093,0.045585,0.044984,0.045298,9.0,176338.0,0.05
2017-02-19,0.045312,0.046629,0.044827,0.046567,24.0,177195.0,0.05
2017-02-20,0.046604,0.047498,0.043353,0.047476,60.0,182245.0,0.05
2017-02-21,0.047445,0.048028,0.043719,0.046809,447.0,185535.0,0.05
2017-02-22,0.046788,0.050755,0.044314,0.050274,423.0,182966.0,0.05
2017-02-23,0.050266,0.057707,0.047321,0.050461,834.0,196566.0,0.05
2017-02-24,0.05072,0.055528,0.050191,0.054834,18.0,198340.0,0.05
2017-02-25,0.054682,0.05485,0.05136,0.052239,26.0,213833.0,0.05
2017-02-26,0.052259,0.053318,0.050159,0.052655,278.0,204359.0,0.05
2017-02-27,0.052591,0.05383,0.05077,0.05383,253.0,205659.0,0.05
2017-02-28,0.053864,0.060337,0.047091,0.060179,1957.0,210638.0,0.05
2017-03-01,0.060182,0.061474,0.048835,0.051565,747.0,235343.0,0.06
2017-03-02,0.050616,0.063515,0.050546,0.050741,699.0,197935.0,0.06
2017-03-03,0.050729,0.11475,0.050729,0.101604,1845.0,198376.0,0.08
2017-03-04,0.114943,0.127812,0.080844,0.125515,7628.0,449486.0,0.1
2017-03-05,0.125429,0.274212,0.117073,0.215524,11278.0,490492.0,0.2
2017-03-06,0.215584,0.273412,0.177535,0.2446,16950.0,843045.0,0.23
2017-03-07,0.244673,0.264935,0.189584,0.236718,6357.0,956798.0,0.23
2017-03-08,0.236658,0.253884,0.17104,0.198409,3478.0,925455.0,0.21
2017-03-09,0.19847,0.211417,0.16674,0.190158,2893.0,776120.0,0.19
2017-03-10,0.190298,0.191678,0.125851,0.136832,1481.0,744163.0,0.16
2017-03-11,0.136783,0.176282,0.136783,0.156456,1285.0,534892.0,0.16
2017-03-12,0.156561,0.161507,0.127918,0.145955,407.0,612234.0,0.14
2017-03-13,0.146003,0.172392,0.137148,0.171767,542.0,570947.0,0.15
2017-03-14,0.1718,0.174273,0.16112,0.161188,303.0,671827.0,0.17
2017-03-15,0.161208,0.207285,0.13859,0.207285,2372.0,630407.0,0.17
2017-03-16,0.207571,0.238488,0.17433,0.237562,6848.0,811710.0,0.21
2017-03-17,0.236032,0.236383,0.208446,0.209198,5178.0,923007.0,0.22
2017-03-18,0.209095,0.23448,0.188861,0.206255,1176.0,817669.0,0.21
2017-03-19,0.206871,0.245688,0.206871,0.23929,3550.0,808972.0,0.23
2017-03-20,0.239405,0.265652,0.234322,0.253015,583.0,936197.0,0.25
2017-03-21,0.253286,0.436251,0.253286,0.325035,22086.0,990479.0,0.34
2017-03-22,0.325067,0.488214,0.324939,0.435309,24652.0,1271180.0,0.41
2017-03-23,0.435697,0.45682,0.315458,0.379833,12442.0,1703800.0,0.39
2017-03-24,0.399845,0.417194,0.307011,0.356558,16084.0,1563600.0,0.36
2017-03-25,0.356185,0.375219,0.314823,0.374072,3423.0,1392870.0,0.35
2017-03-26,0.374548,0.431457,0.364501,0.395381,1053.0,1464680.0,0.4
2017-03-27,0.397561,0.440922,0.38503,0.440656,4028.0,1554670.0,0.41
2017-03-28,0.440155,0.440155,0.339252,0.366502,3021.0,1721230.0,0.39
2017-03-29,0.366128,0.368441,0.334651,0.343201,5155.0,1431750.0,0.35
2017-03-30,0.34394,0.366126,0.306357,0.311214,3601.0,1344980.0,0.34
2017-03-31,0.311277,0.350394,0.311277,0.335331,496.0,1217250.0,0.33
2017-04-01,0.335306,0.335738,0.274437,0.308202,1518.0,1311220.0,0.31
2017-04-02,0.308233,0.397184,0.27752,0.381031,2212.0,1205350.0,0.34
2017-04-03,0.381301,0.409589,0.317641,0.330733,3875.0,1491080.0,0.36
2017-04-04,0.331227,0.369562,0.256135,0.334558,7806.0,1295270.0,0.31
2017-04-05,0.334821,0.334874,0.293496,0.296211,528.0,1309320.0,0.31
2017-04-06,0.296482,0.436312,0.258532,0.366264,5626.0,1159400.0,0.35
2017-04-07,0.365106,0.436503,0.357467,0.384646,7510.0,1427750.0,0.4
2017-04-08,0.383257,0.415364,0.362003,0.382619,3267.0,1498730.0,0.39
2017-04-09,0.382821,0.426164,0.358858,0.361896,3483.0,1497030.0,0.39
2017-04-10,0.361723,0.445244,0.360894,0.416932,2203.0,1414520.0,0.4
2017-04-11,0.417048,0.527355,0.417048,0.495886,18128.0,1630870.0,0.47
2017-04-12,0.495803,0.668486,0.449284,0.591563,19300.0,1938850.0,0.56
2017-04-13,0.591326,0.680006,0.585415,0.617427,10955.0,2312390.0,0.63
2017-04-14,0.617981,0.682769,0.571173,0.677318,11580.0,2416620.0,0.63
2017-04-15,0.677022,0.816925,0.65045,0.816895,12053.0,2647510.0,0.73
2017-04-16,0.816957,0.89472,0.592526,0.86331,44116.0,3194720.0,0.74
2017-04-17,0.863536,1.08,0.846825,1.07,188193.0,3376870.0,0.96
2017-04-18,1.07,1.15,1.03,1.1,28657.0,4186830.0,1.09
2017-04-19,1.1,2.38,1.06,2.12,218874.0,4314860.0,1.72
2017-04-20,2.12,2.42,1.86,1.86,161329.0,8281890.0,2.14
2017-04-21,1.86,2.22,1.29,1.59,102919.0,7257800.0,1.76
2017-04-22,1.59,1.92,1.33,1.54,69399.0,6216780.0,1.62
2017-04-23,1.54,1.79,1.41,1.65,47957.0,6004010.0,1.6
2017-04-24,1.75,1.75,1.11,1.3,76528.0,6844620.0,1.43
2017-04-25,1.3,1.32,0.932126,1.26,212700.0,5085510.0,1.13
2017-04-26,1.25,2.42,1.25,1.55,214823.0,4891630.0,1.83
2017-04-27,1.55,1.91,1.32,1.45,61784.0,6047850.0,1.61
2017-04-28,1.45,1.81,1.31,1.59,50621.0,5669860.0,1.56
2017-04-29,1.59,1.92,1.51,1.91,42550.0,6213150.0,1.71
2017-04-30,1.91,2.18,1.81,1.94,74029.0,7463140.0,2.0
2017-05-01,1.94,2.08,1.8,1.96,51130.0,7577720.0,1.94
2017-05-02,1.96,2.04,1.38,1.86,46186.0,7675840.0,1.71
2017-05-03,1.86,1.9,1.61,1.66,22991.0,7276840.0,1.75
2017-05-04,1.66,2.0,1.49,1.54,86425.0,6510190.0,1.75
2017-05-05,1.54,1.74,1.23,1.33,73625.0,6019110.0,1.48
2017-05-06,1.33,1.7,1.23,1.59,41193.0,5183660.0,1.46
2017-05-07,1.59,1.72,1.47,1.6,62435.0,6210800.0,1.59
2017-05-08,1.6,2.38,1.6,2.13,138603.0,6270900.0,1.99
2017-05-09,2.13,2.25,1.72,1.98,51153.0,8335230.0,1.98
2017-05-10,1.98,2.25,1.74,1.95,36783.0,7746620.0,2.0
2017-05-11,1.95,2.27,1.89,1.93,22469.0,7644790.0,2.08
2017-05-12,1.93,2.04,1.67,1.76,30931.0,7538070.0,1.85
2017-05-13,1.76,1.86,1.53,1.79,14249.0,6883720.0,1.7
2017-05-14,1.8,2.16,1.72,1.94,26607.0,7027350.0,1.94
2017-05-15,1.96,2.09,1.71,1.73,27016.0,7646390.0,1.9
2017-05-16,1.73,1.92,1.53,1.63,40947.0,6752950.0,1.73
2017-05-17,1.63,1.88,1.61,1.7,17842.0,6359870.0,1.75
2017-05-18,1.7,2.25,1.7,2.15,48718.0,6663480.0,1.98
2017-05-19,2.16,3.08,2.06,2.71,97759.0,8428530.0,2.57
2017-05-20,2.71,3.65,2.71,3.6,84811.0,10591100.0,3.18
2017-05-21,3.6,3.81,3.36,3.69,67777.0,14062300.0,3.58
2017-05-22,3.7,3.7,2.72,2.97,56460.0,14480300.0,3.21
2017-05-23,2.96,3.95,2.82,3.78,27326.0,11587000.0,3.38
2017-05-24,3.78,4.16,3.63,3.89,46625.0,14791300.0,3.9
2017-05-25,3.88,4.1,2.59,3.24,70560.0,15180700.0,3.34
2017-05-26,3.2,3.56,2.63,3.04,41429.0,12531400.0,3.09
2017-05-27,3.05,3.2,2.65,3.15,39311.0,11929100.0,2.92
2017-05-28,3.17,3.94,2.99,2.99,34477.0,12403700.0,3.46
2017-05-29,2.98,4.13,2.98,3.82,40829.0,11665900.0,3.55
2017-05-30,3.83,4.27,3.72,4.01,46004.0,14972400.0,4.0
2017-05-31,4.03,4.25,3.55,4.16,39978.0,15755900.0,3.9
2017-06-01,4.16,5.58,4.08,5.58,145693.0,16276000.0,4.83
2017-06-02,5.64,6.98,5.54,6.98,218556.0,22052200.0,6.26
2017-06-03,6.98,8.65,6.43,7.01,223875.0,27292300.0,7.54
2017-06-04,6.99,7.36,5.34,5.34,159633.0,27332100.0,6.35
2017-06-05,5.37,7.84,5.37,7.58,182067.0,21011300.0,6.61
2017-06-06,7.6,8.46,6.04,6.91,407822.0,29726800.0,7.25
2017-06-07,6.91,8.06,6.64,6.87,128658.0,27027000.0,7.35
2017-06-08,6.9,7.86,6.81,7.73,85649.0,26985400.0,7.33
2017-06-09,7.72,7.84,6.44,6.94,103525.0,30191600.0,7.14
2017-06-10,6.95,8.16,6.46,7.13,117228.0,27172400.0,7.31
2017-06-11,6.96,7.6,6.05,6.59,104274.0,27232700.0,6.82
2017-06-12,6.58,7.6,4.41,5.83,193634.0,25717500.0,6.0
2017-06-13,5.81,6.18,4.93,5.64,64410.0,22724000.0,5.55
2017-06-14,5.63,6.14,4.66,4.7,48905.0,22026200.0,5.4
2017-06-15,4.7,5.15,4.22,5.15,117778.0,18365000.0,4.69
2017-06-16,5.15,5.48,4.6,4.9,86700.0,20141600.0,5.04
2017-06-17,4.89,5.19,4.63,5.19,60294.0,19113200.0,4.91
2017-06-18,5.22,5.51,5.0,5.22,44066.0,20416600.0,5.25
2017-06-19,5.22,6.67,5.22,5.5,74750.0,20416300.0,5.95
2017-06-20,5.5,7.05,5.42,6.28,140528.0,21738400.0,6.23
2017-06-21,6.28,6.28,5.87,6.11,52573.0,24861600.0,6.08
2017-06-22,6.11,6.27,5.88,5.94,52499.0,24168900.0,6.07
2017-06-23,5.94,6.82,5.65,6.73,45190.0,23478600.0,6.24
2017-06-24,6.73,7.84,6.61,7.38,156306.0,26604600.0,7.22
2017-06-25,7.36,8.75,6.24,6.9,292248.0,29128800.0,7.5
2017-06-26,6.9,7.14,5.32,6.26,144532.0,27288700.0,6.23
2017-06-27,6.26,6.49,5.17,6.22,65425.0,24769600.0,5.83
2017-06-28,6.26,6.95,6.02,6.36,72378.0,24785000.0,6.48
2017-06-29,6.36,7.4,6.32,6.93,42230.0,25157600.0,6.86
2017-06-30,6.94,8.03,6.34,6.38,143998.0,27456000.0,7.18
2017-07-01,6.37,7.44,5.79,5.97,67128.0,25223300.0,6.62
2017-07-02,5.97,6.35,5.5,5.9,75348.0,23620600.0,5.92
2017-07-03,5.88,6.42,5.87,6.14,50492.0,23248500.0,6.14
2017-07-04,6.13,6.73,5.91,6.45,28068.0,24269500.0,6.32
2017-07-05,6.44,6.57,5.85,6.24,27828.0,25499300.0,6.21
2017-07-06,6.24,6.47,6.02,6.23,23351.0,24692800.0,6.24
2017-07-07,6.24,6.36,5.64,5.75,61482.0,24682000.0,6.0
2017-07-08,5.76,7.41,4.98,7.02,122162.0,22792200.0,6.2
2017-07-09,7.14,7.37,6.14,6.5,54324.0,28252700.0,6.75
2017-07-10,6.51,6.51,4.36,4.48,128750.0,25780500.0,5.44
2017-07-11,4.47,4.83,3.47,4.2,82511.0,17703200.0,4.15
2017-07-12,4.17,5.01,3.89,5.01,148426.0,16522500.0,4.45
2017-07-13,5.01,5.12,4.33,4.69,61873.0,19835400.0,4.72
2017-07-14,4.69,4.7,4.02,4.67,29644.0,18554700.0,4.36
2017-07-15,4.66,5.16,3.82,4.34,117906.0,18440900.0,4.49
2017-07-16,4.32,4.64,3.37,4.25,67565.0,17117500.0,4.0
2017-07-17,4.24,4.44,3.91,4.44,29015.0,16794400.0,4.18
2017-07-18,4.45,4.96,4.31,4.78,41474.0,17629100.0,4.63
2017-07-19,4.79,5.23,4.64,4.8,67135.0,18962200.0,4.94
2017-07-20,4.68,6.29,4.68,6.1,35099.0,18544600.0,5.48
2017-07-21,6.15,8.13,5.83,7.3,161325.0,24330600.0,6.98
2017-07-22,7.3,9.04,6.79,8.11,138531.0,28910100.0,7.91
2017-07-23,8.12,9.73,7.8,8.27,182677.0,32164500.0,8.77
2017-07-24,8.24,9.41,7.6,8.88,262662.0,32621900.0,8.5
2017-07-25,8.71,10.33,6.53,7.68,534863.0,34474000.0,8.43
2017-07-26,7.7,9.32,7.19,8.86,332033.0,30502400.0,8.26
2017-07-27,8.87,11.94,8.84,10.92,716672.0,35136500.0,10.39
2017-07-28,10.95,11.52,8.8,10.74,516810.0,43379500.0,10.16
2017-07-29,10.51,10.55,8.19,9.86,199472.0,41638500.0,9.37
2017-07-30,9.64,10.89,8.61,10.45,296073.0,38196700.0,9.75
2017-07-31,10.22,11.17,9.54,10.1,290445.0,40488500.0,10.36
2017-08-01,10.1,10.97,8.68,10.31,262725.0,40024300.0,9.82
2017-08-02,10.3,10.8,9.83,10.8,232491.0,40817100.0,10.32
2017-08-03,10.83,12.34,10.82,12.02,340567.0,42892500.0,11.58
2017-08-04,12.01,12.38,10.7,10.85,331751.0,47584500.0,11.54
2017-08-05,10.85,12.9,10.8,12.38,253442.0,42978500.0,11.85
2017-08-06,12.38,12.95,11.99,12.23,169243.0,49047500.0,12.47
2017-08-07,12.21,15.01,12.1,14.3,291614.0,48360500.0,13.55
2017-08-08,14.1,15.54,13.81,14.86,371982.0,55868000.0,14.68
2017-08-09,15.16,15.57,12.71,14.0,529767.0,60077100.0,14.14
2017-08-10,14.0,14.0,12.7,13.42,328158.0,55472900.0,13.35
2017-08-11,13.41,14.32,13.21,13.94,247887.0,53139500.0,13.77
2017-08-12,13.93,15.2,13.67,15.08,205670.0,55191800.0,14.43
2017-08-13,15.06,16.04,13.13,14.34,592079.0,59698000.0,14.59
2017-08-14,14.35,15.76,12.13,12.75,366935.0,56883300.0,13.95
2017-08-15,12.94,15.02,11.84,14.36,258448.0,51296300.0,13.43
2017-08-16,14.37,14.68,13.13,14.66,109641.0,56969800.0,13.91
2017-08-17,14.06,17.76,13.73,17.17,607875.0,55718000.0,15.75
2017-08-18,17.41,18.14,13.64,14.6,414621.0,68992100.0,15.89
2017-08-19,14.05,14.71,13.09,13.56,130350.0,55698900.0,13.9
2017-08-20,13.49,14.09,12.93,13.39,129403.0,53483200.0,13.51
2017-08-21,13.34,14.26,12.79,12.91,76014.0,52892600.0,13.52
2017-08-22,12.94,12.96,11.65,12.2,189231.0,51285800.0,12.3
2017-08-23,12.18,13.89,12.15,13.72,109470.0,48270500.0,13.02
2017-08-24,13.73,16.38,13.02,16.3,243230.0,54430600.0,14.7
2017-08-25,16.23,16.67,15.26,15.74,176099.0,64346300.0,15.96
2017-08-26,15.77,23.49,14.88,23.03,1154930.0,62522300.0,19.18
2017-08-27,23.54,29.95,22.08,25.67,2673080.0,93338600.0,26.02
2017-08-28,25.64,27.96,22.06,26.55,713895.0,101672000.0,25.01
2017-08-29,26.55,28.74,21.5,26.29,1240220.0,105276000.0,25.12
2017-08-30,26.25,29.73,24.53,29.68,774850.0,104100000.0,27.13
2017-08-31,29.05,35.53,28.26,32.15,1461370.0,121762000.0,31.9
2017-09-01,32.22,36.0,30.47,34.29,931329.0,135110000.0,33.23
2017-09-02,34.93,34.93,26.61,28.72,405459.0,146547000.0,30.77
2017-09-03,29.29,30.7,27.55,28.67,220531.0,122924000.0,29.12
2017-09-04,28.68,29.83,19.11,24.51,906789.0,120384000.0,24.47
2017-09-05,24.67,29.3,20.81,26.05,702868.0,103590000.0,25.05
2017-09-06,26.08,28.95,24.46,25.73,399648.0,109544000.0,26.7
2017-09-07,25.16,27.16,23.56,25.12,331427.0,105702000.0,25.36
2017-09-08,25.12,25.78,20.1,21.6,441311.0,105602000.0,22.94
